,data_name,n_sample,n_itr,type,MSE,Corr,MAE,R2
Torque2_n5_itr3_WITH,Torque2,5,3,With source features,213.219475416569,0.3687142313174277,10.513353006678013,0.0395562409487058
Torque2_n5_itr3_RES,Torque2,5,3,Leraning the residuals,206.6818722559705,0.3667019816296095,10.562117213542408,0.06900477111924264
Torque2_n5_itr3_RATE,Torque2,5,3,Learning the rates,208.37483836968283,0.3593763630296634,10.588904782606773,0.06137883200170369
Torque2_n5_itr3_AffineTrans,Torque2,5,3,Proposed method,201.8909070765732,0.38407122617190703,10.542544944146066,0.09058559809292444
Torque2_n5_itr3_AffineTrans2,Torque2,5,3,Proposed method 2,201.9564224520811,0.37860700440017175,10.548955446161376,0.09029048511881388
Torque2_n5_itr3_AffineTrans3,Torque2,5,3,Proposed method 3,202.1941700877968,0.377509634702642,10.551234574360473,0.089219554649136
Torque2_n5_itr4_WOTL,Torque2,5,4,Without transfer,193.07293762872308,0.4217611346947839,10.12868020729845,0.13030600218427835
Torque2_n5_itr4_ONLY,Torque2,5,4,Using only source features,238.14698271456143,0.15912626065944022,12.431491382286842,-0.07272932192629766
Torque2_n5_itr4_WITH,Torque2,5,4,With source features,196.31074410837334,0.44906081810528353,10.896893591981625,0.11572135404029249
Torque2_n5_itr4_RES,Torque2,5,4,Leraning the residuals,238.09550027691634,0.15951020758991422,12.429769135607101,-0.0724974200991293
Torque2_n5_itr4_RATE,Torque2,5,4,Learning the rates,230.8473862784832,0.15964847588093736,12.193344055989042,-0.039848405082621774
Torque2_n5_itr4_AffineTrans,Torque2,5,4,Proposed method,207.58236335303067,0.3118161775091182,11.484659985007548,0.06494852319647193
Torque2_n5_itr4_AffineTrans2,Torque2,5,4,Proposed method 2,206.52969437038277,0.3266225884135966,10.834784439919286,0.06969025400110795
Torque2_n5_itr4_AffineTrans3,Torque2,5,4,Proposed method 3,201.20160642743528,0.3917582493062453,11.139161825848337,0.093690541978942
Torque2_n5_itr5_WOTL,Torque2,5,5,Without transfer,277.4669984857805,0.13008571454433313,12.827913048337491,-0.24984571187840965
Torque2_n5_itr5_ONLY,Torque2,5,5,Using only source features,157.4783717792801,0.5916747065890525,9.079831766218243,0.2906411618100452
Torque2_n5_itr5_WITH,Torque2,5,5,With source features,326.5577616228392,0.17801048986569742,13.729467510155358,-0.4709742790036129
Torque2_n5_itr5_RES,Torque2,5,5,Leraning the residuals,157.47837177928,0.5916747065890526,9.079831766218241,0.2906411618100456
Torque2_n5_itr5_RATE,Torque2,5,5,Learning the rates,157.47837177928,0.5916747065890527,9.079831766218241,0.2906411618100456
Torque2_n5_itr5_AffineTrans,Torque2,5,5,Proposed method,155.8737702423519,0.5748891187053939,9.079069572479675,0.29786906408724523
Torque2_n5_itr5_AffineTrans2,Torque2,5,5,Proposed method 2,226.54295292272204,0.193827525604883,11.680545459734839,-0.02045915302337109
